Name,Type,Parent Object,Description,IsParent,Associated Parent
AngleExtentDefinition,Object,,,True,AngleExtentDefinition
AngleExtentDefinition.angle,Property,AngleExtentDefinition,gets the modelparameter that defines the angle the value of the angle can be edited by using the properties on the modelparameter object to edit the parameterdefined in and the header file is adskfusionfeaturesangleextentdefinitionh,False,AngleExtentDefinition
AngleExtentDefinition.classType,Method,AngleExtentDefinition,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskfusionfeaturesangleextentdefinitionh,False,AngleExtentDefinition
AngleExtentDefinition.isSymmetric,Property,AngleExtentDefinition,gets and sets if the angle extent is in one direction or symmetric for a hole this property will always return false and setting it is ignoreddefined in and the header file is adskfusionfeaturesangleextentdefinitionh,False,AngleExtentDefinition
AngleExtentDefinition.isValid,Property,AngleExtentDefinition,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskfusionfeaturesangleextentdefinitionh,False,AngleExtentDefinition
AngleExtentDefinition.objectType,Property,AngleExtentDefinition,returns a string indicating the type of the objectdefined in and the header file is adskfusionfeaturesangleextentdefinitionh,False,AngleExtentDefinition
AngleExtentDefinition.parentFeature,Property,AngleExtentDefinition,returns the parent feature that this definition is associated with if this definition has been created statically and is not associated with a feature this property will return nulldefined in and the header file is adskfusionfeaturesangleextentdefinitionh,False,AngleExtentDefinition
AngleValueCommandInput,Object,,,True,AngleValueCommandInput
AngleValueCommandInput.classType,Method,AngleValueCommandInput,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.commandInputs,Property,AngleValueCommandInput,gets the commandinputs class of the parent which can be a command groupcommandinput or tabcommandinputdefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.expression,Property,AngleValueCommandInput,gets or sets the expression displayed in the input field this can contain equations and references to parameters but must result in a valid angle expression if units are not specified as part of the expression the default user units of degrees are useddefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.hasMaximumValue,Property,AngleValueCommandInput,gets and sets if there is a maximum value for this command input when setting this property it is only valid to set it to false to remove the maximum value setting the maximumvalue property will result in this property being set to truedefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.hasMinimumValue,Property,AngleValueCommandInput,gets and sets if there is a minimum value for this command input when setting this property it is only valid to set it to false to remove the minimum value setting the minimumvalue property will result in this property being set to truedefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.id,Property,AngleValueCommandInput,gets the unique identifier for this input in the commands commandinputsdefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.isEnabled,Property,AngleValueCommandInput,gets or sets if this input is currently enabled or disabled for user interactiondefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.isFullWidth,Property,AngleValueCommandInput,gets or sets if this input fills the entire width of the dialog if true the name is ignored and the input control will fill the entire width of the command dialog the default value for this property in a new command input if false or not to fill the width this property does not apply to groupcommandinputs or tabcommandinputsdefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.isMaximumValueInclusive,Property,AngleValueCommandInput,gets and sets if the value of the input includes the maximum value or is up to the maximum value for example if the maximum value is the value of pi 180 degrees and this property is true the maximum value can be pi if this is false the minimum value must be less than pi when the maximum value is first defined using the maximumvalue property this property is set to true the value returned by this property is only meaninful when the hasmaximumvalue property returns truedefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.isMinimumValueInclusive,Property,AngleValueCommandInput,gets and sets if the value of the input includes the minimum value or is up to the minimum value for example if the minimum value is zero and this property is true the minimum value can be zero if this is false the minimum value must be greater than zero when the minimum value is first defined using the minimumvalue property this property is set to true the value returned by this property is only meaningful when the hasminimumvalue property returns truedefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.isValid,Property,AngleValueCommandInput,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.isValidExpression,Property,AngleValueCommandInput,returns true if the current expression is valid and can be evaluated if this is false the value returned should be ignored because there currently is not a valid valuedefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.isVisible,Property,AngleValueCommandInput,gets or sets if this input will be visible to the userdefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
